0,125,-7.85177,-7.72186,-12.2755,-9.33226,-11.7338,-12.3657,-7.45336,56.2658
0.001,124.737,124.617,124.567,124.668,124.538,124.404,124.679,122.732,994.942
0.002,123.964,123.503,123.301,123.702,123.238,122.709,123.744,119.532,983.693
0.003,122.724,121.756,121.296,122.193,121.323,120.179,122.275,118.348,970.092
0.004,121.085,119.526,118.694,120.27,119.089,117.174,120.39,116.194,952.421
0.005,119.129,116.99,115.673,118.084,116.816,114.067,118.227,112.656,931.642
0.006,116.944,114.332,112.423,115.778,114.693,111.154,115.922,110.657,911.903
0.007,114.615,111.713,109.127,113.466,112.771,108.593,113.588,108.49,892.363
0.008,112.214,109.257,105.942,111.217,110.978,106.38,111.3,104.018,871.305
0.009,109.791,107.032,102.983,109.048,109.169,104.376,109.089,101.212,852.7
0.01,107.377,105.053,100.318,106.931,107.198,102.366,106.944,101.968,838.155
0.011,104.977,103.277,97.9646,104.804,104.986,100.139,104.822,101.614,822.583
0.012,102.576,101.626,95.8954,102.592,102.558,97.5582,102.662,98.7463,804.214
0.013,100.144,99.9986,94.048,100.228,100.037,94.609,100.403,96.8043,786.272
0.014,97.6467,98.2902,92.3392,97.6692,97.5914,91.4006,98.0036,95.1455,768.087
0.015,95.0477,96.4166,90.6799,94.9126,95.3665,88.1327,95.4507,91.5432,747.55
0.016,92.3202,94.3256,88.9874,91.9913,93.4203,85.0293,92.765,88.726,727.565
0.017,89.4515,92.0066,87.1952,88.9706,91.6901,82.2672,89.9983,87.7599,709.34
0.018,86.4453,89.4896,85.2581,85.9322,90.0037,79.9164,87.2233,84.3421,688.611
0.019,83.3225,86.8382,83.155,82.9562,88.1343,77.9144,84.5178,78.3291,665.168
0.02,80.1177,84.1375,80.8856,80.1034,85.8777,76.0787,81.9491,74.664,643.814
0.021,76.8739,81.4796,78.4634,77.4015,83.1273,74.1543,79.5598,73.1612,624.221
0.022,73.6362,78.9468,75.9097,74.8399,79.915,71.8851,77.3583,70.3183,602.809
0.023,70.4443,76.5987,73.2465,72.3736,76.4061,69.087,75.3177,67.5634,581.037
